DateTime,#Site,SamplingHeight,InstrumentId,co2
2017-06-05 12:00:00,SVB,150,464,407.255
2017-06-05 13:00:00,SVB,150,464,408.783
2017-06-05 14:00:00,SVB,150,464,409.805
2017-06-05 15:00:00,SVB,150,464,408.415
2017-06-05 16:00:00,SVB,150,464,408.756
2017-06-05 17:00:00,SVB,150,464,409.097
2017-06-05 18:00:00,SVB,150,464,409.43800000000005
2017-06-05 19:00:00,SVB,150,464,409.52099999999996
2017-06-05 20:00:00,SVB,150,464,409.714
2017-06-05 21:00:00,SVB,150,464,410.168
2017-06-05 22:00:00,SVB,150,464,410.207
2017-06-05 23:00:00,SVB,150,464,413.02099999999996
2017-06-06 00:00:00,SVB,150,464,412.80699999999996
2017-06-06 01:00:00,SVB,150,464,411.974
2017-06-06 02:00:00,SVB,150,464,411.85900000000004
2017-06-06 03:00:00,SVB,150,464,411.585
2017-06-06 04:00:00,SVB,150,464,411.185
2017-06-06 05:00:00,SVB,150,464,410.089
2017-06-06 06:00:00,SVB,150,464,409.23900000000003
2017-06-06 07:00:00,SVB,150,464,407.895
2017-06-06 08:00:00,SVB,150,464,407.259
2017-06-06 09:00:00,SVB,150,464,406.921
2017-06-06 10:00:00,SVB,150,464,406.77
2017-06-06 11:00:00,SVB,150,464,406.824
2017-06-06 12:00:00,SVB,150,464,406.765
2017-06-06 13:00:00,SVB,150,464,406.532
2017-06-06 14:00:00,SVB,150,464,406.596
2017-06-06 15:00:00,SVB,150,464,406.844
2017-06-06 16:00:00,SVB,150,464,406.874
2017-06-06 17:00:00,SVB,150,464,407.42400000000004
2017-06-06 18:00:00,SVB,150,464,407.85900000000004
2017-06-06 19:00:00,SVB,150,464,408.849
2017-06-06 20:00:00,SVB,150,464,410.231
2017-06-06 21:00:00,SVB,150,464,408.491
2017-06-06 22:00:00,SVB,150,464,407.414
2017-06-06 23:00:00,SVB,150,464,407.129
2017-06-07 00:00:00,SVB,150,464,406.31699999999995
2017-06-07 01:00:00,SVB,150,464,406.403
2017-06-07 02:00:00,SVB,150,464,405.101
2017-06-07 03:00:00,SVB,150,464,407.162
2017-06-07 04:00:00,SVB,150,464,408.644
2017-06-07 05:00:00,SVB,150,464,407.83099999999996
