index	date	time	Signal_raw_Z	Signal_ref_Z	Runtime_Z
11	10.03.2018	03:29:24	22268.00	11965.00	447800.00
11	10.03.2018	03:29:34	22267.00	11964.00	447810.00
11	10.03.2018	03:29:44	22268.00	11965.00	447820.00
11	10.03.2018	03:29:54	22267.00	11964.00	447830.00
11	10.03.2018	03:30:04	22267.00	11964.00	447840.00
11	10.03.2018	03:30:14	22266.00	11964.00	447850.00
11	10.03.2018	03:30:24	22268.00	11965.00	447860.00
12	10.03.2018	12:01:04	22257.00	11959.00	478500.00
12	10.03.2018	12:01:14	22257.00	11959.00	478510.00
12	10.03.2018	12:01:24	22257.00	11959.00	478520.00
12	10.03.2018	12:01:34	22257.00	11959.00	478530.00
12	10.03.2018	12:01:44	22257.00	11959.00	478540.00
12	10.03.2018	12:01:54	22257.00	11958.00	478550.00
12	10.03.2018	12:02:04	22257.00	11959.00	478560.00
12	10.03.2018	12:02:14	22257.00	11959.00	478570.00
12	10.03.2018	12:02:24	22258.00	11959.00	478580.00
13	10.03.2018	20:33:04	22252.00	11956.00	509220.00
13	10.03.2018	20:33:14	22251.00	11955.00	509230.00
13	10.03.2018	20:33:24	22251.00	11955.00	509240.00
13	10.03.2018	20:33:34	22252.00	11955.00	509250.00
13	10.03.2018	20:33:44	22252.00	11956.00	509260.00
13	10.03.2018	20:33:54	22252.00	11956.00	509270.00
13	10.03.2018	20:34:04	22252.00	11956.00	509280.00
13	10.03.2018	20:34:14	22252.00	11955.00	509290.00
13	10.03.2018	20:34:24	22252.00	11955.00	509300.00
14	11.03.2018	05:05:04	22251.00	11956.00	539940.00
14	11.03.2018	05:05:14	22252.00	11956.00	539950.00
14	11.03.2018	05:05:24	22252.00	11956.00	539960.00
14	11.03.2018	05:05:34	22250.00	11955.00	539970.00
14	11.03.2018	05:05:44	22249.00	11954.00	539980.00
14	11.03.2018	05:05:54	22250.00	11954.00	539990.00
14	11.03.2018	05:06:04	22251.00	11955.00	540000.00
14	11.03.2018	05:06:14	22250.00	11955.00	540010.00
14	11.03.2018	05:06:24	22250.00	11955.00	540020.00
15	11.03.2018	06:36:16	22249.00	11960.00	542311.00
15	11.03.2018	06:36:26	22250.00	11960.00	542321.00
15	11.03.2018	06:36:36	22250.00	11960.00	542331.00
15	11.03.2018	06:36:46	22249.00	11960.00	542341.00
15	11.03.2018	06:36:56	22249.00	11960.00	542351.00
15	11.03.2018	06:37:06	22249.00	11960.00	542361.00
15	11.03.2018	06:37:16	22249.00	11960.00	542371.00
15	11.03.2018	06:37:26	22250.00	11960.00	542381.00
15	11.03.2018	06:37:36	22249.00	11959.00	542391.00
16	11.03.2018	15:08:16	22250.00	11961.00	573031.00
16	11.03.2018	15:08:26	22250.00	11961.00	573041.00
16	11.03.2018	15:08:36	22251.00	11962.00	573051.00
16	11.03.2018	15:08:46	22252.00	11962.00	573061.00
16	11.03.2018	15:08:56	22251.00	11962.00	573071.00
16	11.03.2018	15:09:06	22251.00	11962.00	573081.00
16	11.03.2018	15:09:16	22250.00	11962.00	573091.00
16	11.03.2018	15:09:26	22250.00	11961.00	573101.00
16	11.03.2018	15:09:36	22251.00	11962.00	573111.00
17	11.03.2018	23:40:16	22256.00	11965.00	603751.00
17	11.03.2018	23:40:26	22256.00	11965.00	603761.00
17	11.03.2018	23:40:36	22257.00	11965.00	603771.00
17	11.03.2018	23:40:46	22257.00	11965.00	603781.00
17	11.03.2018	23:40:56	22257.00	11965.00	603791.00
17	11.03.2018	23:41:06	22257.00	11965.00	603801.00
17	11.03.2018	23:41:16	22256.00	11965.00	603811.00
17	11.03.2018	23:41:26	22255.00	11965.00	603821.00
17	11.03.2018	23:41:36	22255.00	11965.00	603831.00
18	12.03.2018	08:12:16	22255.00	11964.00	634471.00
18	12.03.2018	08:12:26	22255.00	11964.00	634481.00
18	12.03.2018	08:12:36	22255.00	11964.00	634491.00
18	12.03.2018	08:12:46	22254.00	11964.00	634501.00
18	12.03.2018	08:12:56	22254.00	11964.00	634511.00
18	12.03.2018	08:13:06	22254.00	11964.00	634521.00
18	12.03.2018	08:13:16	22255.00	11964.00	634531.00
18	12.03.2018	08:13:26	22254.00	11964.00	634541.00
18	12.03.2018	08:13:36	22255.00	11964.00	634551.00
19	12.03.2018	16:44:16	22255.00	11964.00	665191.00
19	12.03.2018	16:44:26	22255.00	11964.00	665201.00
19	12.03.2018	16:44:36	22254.00	11963.00	665211.00
19	12.03.2018	16:44:46	22255.00	11964.00	665221.00
19	12.03.2018	16:44:56	22255.00	11964.00	665231.00
19	12.03.2018	16:45:06	22255.00	11964.00	665241.00
19	12.03.2018	16:45:16	22255.00	11964.00	665251.00
19	12.03.2018	16:45:26	22256.00	11964.00	665261.00
19	12.03.2018	16:45:36	22255.00	11964.00	665271.00
20	13.03.2018	01:16:16	22263.00	11968.00	695911.00
20	13.03.2018	01:16:26	22262.00	11968.00	695921.00
20	13.03.2018	01:16:36	22263.00	11969.00	695931.00
20	13.03.2018	01:16:46	22262.00	11968.00	695941.00
20	13.03.2018	01:16:56	22262.00	11968.00	695951.00
20	13.03.2018	01:17:06	22263.00	11968.00	695961.00
20	13.03.2018	01:17:16	22262.00	11968.00	695971.00
20	13.03.2018	01:17:26	22263.00	11968.00	695981.00
20	13.03.2018	01:17:36	22263.00	11968.00	695991.00
21	13.03.2018	09:54:55	22258.00	11965.00	726631.00
21	13.03.2018	09:55:05	22258.00	11965.00	726641.00
21	13.03.2018	09:55:15	22256.00	11964.00	726651.00
21	13.03.2018	09:55:25	22257.00	11964.00	726661.00
21	13.03.2018	09:55:35	22255.00	11964.00	726671.00
21	13.03.2018	09:55:45	22256.00	11965.00	726681.00
21	13.03.2018	09:55:55	22256.00	11964.00	726691.00
21	13.03.2018	09:56:05	22256.00	11964.00	726701.00
21	13.03.2018	09:56:15	22256.00	11964.00	726711.00
22	13.03.2018	18:26:55	22255.00	11964.00	757351.00
22	13.03.2018	18:27:05	22254.00	11963.00	757361.00
22	13.03.2018	18:27:15	22255.00	11963.00	757371.00
22	13.03.2018	18:27:25	22255.00	11963.00	757381.00
22	13.03.2018	18:27:35	22255.00	11963.00	757391.00
22	13.03.2018	18:27:45	22254.00	11963.00	757401.00
22	13.03.2018	18:27:55	22255.00	11964.00	757411.00
22	13.03.2018	18:28:05	22255.00	11964.00	757421.00
22	13.03.2018	18:28:15	22255.00	11964.00	757431.00
23	14.03.2018	02:58:55	22253.00	11962.00	788071.00
23	14.03.2018	02:59:05	22253.00	11962.00	788081.00
23	14.03.2018	02:59:15	22253.00	11962.00	788091.00
23	14.03.2018	02:59:25	22254.00	11963.00	788101.00
23	14.03.2018	02:59:35	22254.00	11963.00	788111.00
23	14.03.2018	02:59:45	22254.00	11962.00	788121.00
23	14.03.2018	02:59:55	22254.00	11963.00	788131.00
23	14.03.2018	03:00:05	22254.00	11963.00	788141.00
23	14.03.2018	03:00:15	22254.00	11963.00	788151.00
24	14.03.2018	11:30:55	22257.00	11964.00	818791.00
24	14.03.2018	11:31:05	22257.00	11964.00	818801.00
24	14.03.2018	11:31:15	22255.00	11964.00	818811.00
24	14.03.2018	11:31:25	22256.00	11964.00	818821.00
24	14.03.2018	11:31:35	22257.00	11965.00	818831.00
24	14.03.2018	11:31:45	22257.00	11965.00	818841.00
24	14.03.2018	11:31:55	22257.00	11965.00	818851.00
24	14.03.2018	11:32:05	22257.00	11964.00	818861.00
24	14.03.2018	11:32:15	22256.00	11964.00	818871.00
25	14.03.2018	20:02:55	22255.00	11963.00	849511.00
25	14.03.2018	20:03:05	22255.00	11963.00	849521.00
25	14.03.2018	20:03:15	22255.00	11963.00	849531.00
25	14.03.2018	20:03:25	22256.00	11963.00	849541.00
25	14.03.2018	20:03:35	22254.00	11962.00	849551.00
25	14.03.2018	20:03:45	22256.00	11963.00	849561.00
25	14.03.2018	20:03:55	22256.00	11963.00	849571.00
25	14.03.2018	20:04:05	22256.00	11964.00	849581.00
25	14.03.2018	20:04:15	22256.00	11963.00	849591.00
26	15.03.2018	04:34:55	22257.00	11965.00	880231.00
26	15.03.2018	04:35:05	22258.00	11965.00	880241.00
26	15.03.2018	04:35:15	22258.00	11965.00	880251.00
26	15.03.2018	04:35:25	22258.00	11965.00	880261.00
26	15.03.2018	04:35:35	22258.00	11965.00	880271.00
26	15.03.2018	04:35:45	22259.00	11965.00	880281.00
26	15.03.2018	04:35:55	22258.00	11965.00	880291.00
26	15.03.2018	04:36:05	22258.00	11965.00	880301.00
26	15.03.2018	04:36:15	22258.00	11965.00	880311.00
27	15.03.2018	13:06:55	22256.00	11964.00	910951.00
27	15.03.2018	13:07:05	22256.00	11964.00	910961.00
27	15.03.2018	13:07:15	22257.00	11964.00	910971.00
27	15.03.2018	13:07:25	22257.00	11964.00	910981.00
27	15.03.2018	13:07:35	22257.00	11964.00	910991.00
27	15.03.2018	13:07:45	22257.00	11964.00	911001.00
27	15.03.2018	13:07:55	22257.00	11964.00	911011.00
27	15.03.2018	13:08:05	22257.00	11964.00	911021.00
27	15.03.2018	13:08:15	22258.00	11964.00	911031.00
28	15.03.2018	21:38:55	22259.00	11965.00	941671.00
28	15.03.2018	21:39:05	22259.00	11965.00	941681.00
28	15.03.2018	21:39:15	22259.00	11965.00	941691.00
28	15.03.2018	21:39:25	22259.00	11965.00	941701.00
28	15.03.2018	21:39:35	22259.00	11965.00	941711.00
28	15.03.2018	21:39:45	22259.00	11965.00	941721.00
28	15.03.2018	21:39:55	22260.00	11966.00	941731.00
28	15.03.2018	21:40:05	22260.00	11966.00	941741.00
28	15.03.2018	21:40:15	22259.00	11965.00	941751.00
29	16.03.2018	06:20:08	22258.00	11965.00	972391.00
29	16.03.2018	06:20:18	22258.00	11965.00	972401.00
29	16.03.2018	06:20:28	22258.00	11965.00	972411.00
29	16.03.2018	06:20:38	22259.00	11965.00	972421.00
29	16.03.2018	06:20:48	22259.00	11965.00	972431.00
29	16.03.2018	06:20:58	22259.00	11965.00	972441.00
29	16.03.2018	06:21:08	22258.00	11965.00	972451.00
29	16.03.2018	06:21:18	22259.00	11965.00	972461.00
29	16.03.2018	06:21:28	22259.00	11965.00	972471.00
30	16.03.2018	14:52:08	22260.00	11965.00	1003111.00
30	16.03.2018	14:52:18	22261.00	11966.00	1003121.00
30	16.03.2018	14:52:28	22261.00	11966.00	1003131.00
30	16.03.2018	14:52:38	22261.00	11965.00	1003141.00
30	16.03.2018	14:52:48	22261.00	11966.00	1003151.00
30	16.03.2018	14:52:58	22260.00	11965.00	1003161.00
30	16.03.2018	14:53:08	22260.00	11966.00	1003171.00
30	16.03.2018	14:53:18	22260.00	11966.00	1003181.00
30	16.03.2018	14:53:28	22260.00	11965.00	1003191.00
31	16.03.2018	23:24:08	22259.00	11965.00	1033831.00
31	16.03.2018	23:24:18	22259.00	11965.00	1033841.00
31	16.03.2018	23:24:28	22259.00	11965.00	1033851.00
31	16.03.2018	23:24:38	22260.00	11965.00	1033861.00
31	16.03.2018	23:24:48	22259.00	11965.00	1033871.00
31	16.03.2018	23:24:58	22260.00	11965.00	1033881.00
31	16.03.2018	23:25:08	22259.00	11966.00	1033891.00
31	16.03.2018	23:25:18	22259.00	11965.00	1033901.00
31	16.03.2018	23:25:28	22259.00	11965.00	1033911.00
32	17.03.2018	07:56:08	22259.00	11965.00	1064551.00
32	17.03.2018	07:56:18	22262.00	11967.00	1064561.00
32	17.03.2018	07:56:28	22259.00	11965.00	1064571.00
32	17.03.2018	07:56:38	22260.00	11966.00	1064581.00
32	17.03.2018	07:56:48	22260.00	11965.00	1064591.00
32	17.03.2018	07:56:58	22258.00	11964.00	1064601.00
32	17.03.2018	07:57:08	22261.00	11966.00	1064611.00
32	17.03.2018	07:57:18	22260.00	11965.00	1064621.00
32	17.03.2018	07:57:28	22261.00	11966.00	1064631.00
33	17.03.2018	16:28:08	22258.00	11964.00	1095271.00
33	17.03.2018	16:28:19	22258.00	11964.00	1095281.00
33	17.03.2018	16:28:28	22260.00	11965.00	1095291.00
33	17.03.2018	16:28:38	22260.00	11965.00	1095301.00
33	17.03.2018	16:28:48	22260.00	11965.00	1095311.00
33	17.03.2018	16:28:58	22259.00	11964.00	1095321.00
33	17.03.2018	16:29:09	22258.00	11964.00	1095331.00
33	17.03.2018	16:29:18	22259.00	11964.00	1095341.00
33	17.03.2018	16:29:28	22259.00	11964.00	1095351.00
34	18.03.2018	01:00:08	22261.00	11966.00	1125991.00
