,Lon,Lat,Temperature,Salinity,Depth
84,-5.0231485,50.1466014,7.533439994,34.73597285,25.15714369
85,-5.0231485,50.1466014,7.542701776,34.74632192,25.45481379
86,-5.0231485,50.1466014,7.559651999,34.75054829,25.75248243
87,-5.0231485,50.1466014,7.566509724,34.75923968,26.05014976
88,-5.0231485,50.1466014,7.57280917,34.76433576,26.34781546
89,-5.0231485,50.1466014,7.582584492,34.76944403,26.64547999
90,-5.0231485,50.1466014,7.585649014,34.7651895,26.94314436
91,-5.0231485,50.1466014,7.58583956,34.7640027,27.24080908
92,-5.0231485,50.1466014,7.586531466,34.77007125,27.53847291
93,-5.0231485,50.1466014,7.58618696,34.77075383,27.83613565
94,-5.0231485,50.1466014,7.587232596,34.76960631,28.13379811
95,-5.0231485,50.1466014,7.591254712,34.76771372,28.43146068
96,-5.0231485,50.1466014,7.591487968,34.76987383,28.72912297
97,-5.0231485,50.1466014,7.591786495,34.77194238,29.02678445
98,-5.0231485,50.1466014,7.595175929,34.77709537,29.32444485
99,-5.0231485,50.1466014,7.596170612,34.77559829,29.62210458
100,-5.0231485,50.1466014,7.597167682,34.77410102,29.91976435
101,-5.0231485,50.1466014,7.598259926,34.78702738,30.21742252
102,-5.0231485,50.1466014,7.600542621,34.78842002,30.4441348
