Station,Sensitivity,GEE,Respiration,Anthro,Point source,Population,Radiocarbon
GAT344,4.156313209363793,-4.203137757525532,3.2859959944633026,3.0163658489885923,1.3678260134581808,32134.024286959626,0.639875384
HPB131,5.567633597225713,-8.50135635534078,5.883780504341194,3.4655067801637838,1.0408225451373352,59886.13091653878,0.447417707
HTM150,4.883541862949891,-3.707128666990188,2.9701139822270495,2.128911683923508,0.7491036384803723,22924.455569242487,0.602920306
UTO,5.821638039460448,-2.877842669264835,2.5229759616120893,1.5572853115682355,0.47762344973833454,11038.35058370123,0.624725307
IPR100,7.6208046747459095,-9.4145754675284,7.925684609409296,7.130348520444001,2.159463871821441,133663.55359042378,0.274757293
JFJ,2.7260735767384214,-4.876226228070561,2.9350365079528373,1.3420876036491984,0.4012488920274371,23463.615221449894,0.278992039
KIT200,5.162322391305176,-6.611618661268092,5.687328318900893,6.719987866247765,3.5637656752801425,86129.42382826009,1.735297694
KRE250,4.2964024479716345,-5.764050149008871,4.438063617376106,3.0110617498517636,1.1989970296195411,34902.43125068626,0.519269953
LIN099,5.113747003636525,-5.068208294919956,4.821245863732563,4.810865012705951,2.701398992414825,44174.05726735146,0.504664366
LUT,5.674209055137284,-3.7957134271337902,3.316010852476543,4.4392153007204875,2.50308033905229,47183.05891075273,0.981198653
CMN,9.096729665347375,-10.250494096333671,14.970951254461095,2.5660913047366245,0.7383174647750224,50752.79494010316,0.238966911
NOR100,5.486723415491162,-3.673286631440833,3.290795594306593,1.6476874710005407,0.6071111286902972,14456.823875647771,1.491053047
OPE120,4.5900292034871555,-6.120444106920842,4.690262303755457,3.328075099177633,1.2793503499933832,40154.85600673559,1.189979982
OXK163,4.52376959404721,-5.970149655283079,4.57088761859127,3.5246660806694172,1.414023566233483,42642.175667319956,0.571632364
PAL,10.016217141717743,-2.598878842571855,3.0532672905012688,0.4920835118922066,0.20220653220696921,3807.7652427055928,0.144307408
PUY,3.363843624701974,-5.436749346181393,3.424774102528887,1.504769486849522,0.5043122868298491,22762.465981937527,0.578022719
SMR125,5.0707415489637,-3.5476476479095265,3.0584908221202562,1.38457498103634,0.4351468168932971,9457.494186191352,0.398798833
SVB150,5.044592356872844,-2.8879334382897923,2.323724406919292,0.7230330898846304,0.32195482778783824,5964.446964616059,0.287761557
TOH147,4.265660268578029,-4.956351500395197,3.790767008331347,3.82879053182891,1.6943230793630568,40689.39900031955,0.657260064
TRN180,4.2991556757206855,-5.3428831579428415,4.0214630771969135,2.736540311874021,0.8047544213028892,42404.054902925294,1.578908335
STE252,4.331273487153488,-4.1000568554523955,3.1534907879909286,3.9354865656533033,2.433264739365639,40876.99577648718,0.8574670435767333
