station,broad_leaf_forest,coniferous_forest,mixed_forest,ocean,other,grass_shrub,cropland,pasture,urban,unknown
BIK300,21.69444015765629,42.774675853158314,30.546494487780603,65.33640652980222,4.472936761084472,22.70366640209688,98.65144851045224,33.634944416898115,16.32740103240302,0.0008941668427593815
BIR,7.864928112306171,112.77908967981554,17.69603106456323,149.24222751871736,9.281200946341395,25.049548512147457,34.5762271893419,13.851349456752525,8.308113529087967,0.0012728088249596876
CBW,12.413281669870846,19.14259940278982,21.51587493812586,141.10052061470455,7.506525802266305,7.77539639828464,77.56155859763302,38.68007323749148,34.24519297500627,0.0005146009400614751
CBW027,13.108388218408564,24.004049296844766,28.850090257126727,155.2423782059539,18.428307206119538,10.256300121453217,121.68222947168867,132.07304839153932,96.26763243454093,0.0006188786239369893
CBW067,12.900727206712993,21.221741560481057,24.32951247954521,148.3632227703596,10.939382889947472,8.653369516066917,91.004880012946,59.60717839693763,51.22710243841917,0.0005636943982591184
CBW127,12.706666592271171,20.329395924008708,23.01486347538888,144.3842179286175,9.290089230410537,8.184831925403476,84.2404356179006,46.676423864905665,42.404928766687426,0.0005059427428180103
CBW207,12.413281669870846,19.14259940278982,21.51587493812586,141.10052061470455,7.506525802266305,7.77539639828464,77.56155859763302,38.68007323749148,34.24519297500627,0.0005146009400614751
CES020,13.190472824961239,23.91991633403577,28.912581958478157,153.19077864014227,18.365947286140056,10.344589785927747,121.76609598929718,137.2476150074342,96.67554287330289,0.0005911531081293531
CES200,12.369450295449184,19.470384416111784,21.63970513166884,140.90713448693,7.74030719144607,7.932094402543507,77.88161847588718,39.36047086189074,35.027090164925156,0.0005288662776422577
CGR,17.086002505967723,10.703922719745544,21.860006728068463,490.52584037485775,8.141167574524841,28.892330442212263,235.0436210863581,46.472174727493865,47.26915764364668,0.0004104709504209913
CMN,415.3128201333312,21.772557228765333,39.07779651537398,166.57123564404648,6.570078410150013,37.34013056386176,83.85979684350986,38.96697624762026,24.191899109081568,0.0011456939606229017
CMN760,30.591964347220014,17.141382285503223,23.68134708081461,122.21037335351646,5.629419061466204,13.938973567578785,53.11810279657412,28.027762859769982,13.862766702481142,0.0010127118903851897
FRE,49.897271210930704,67.19145116947256,91.46654135163249,83.53635536826455,3.9393831277033313,12.851998781542731,191.50592759856463,51.02389032579198,76.48305506527551,0.0005941212565702788
GAT030,16.076736096456248,95.21059450812658,31.61654186904051,105.15936237794294,4.96948703786866,16.54819811813917,204.3814678108824,55.509626653423986,32.87587238497273,0.0006682416645091635
GAT132,14.341754351164843,48.22355389912094,24.92431034144317,106.782677640647,4.6464349011576305,12.230378769590915,114.85308422316584,33.971249304408055,24.57516882522218,0.0007333910636626538
GAT344,13.244388722868198,35.3560595055061,22.04143092622538,103.2644273562127,4.1432188065258755,10.699180023191063,85.56702893998097,28.3929808572858,20.377394606540705,0.0006719482399915954
HEI,56.10215497281014,58.33968885078407,94.3782749172008,82.13405271410208,3.9548963034403837,14.304316727186404,154.5397530523342,49.09716522794913,118.61614093886946,0.0005979863534243784
HEL,9.724303569998192,23.450730604466248,19.025634546253755,458.9574150152927,6.158517952777938,10.220943672502845,80.04140186044258,43.16295713193052,21.00534606492812,0.0009665600363430346
HPB131,19.718275602634595,64.69995693948623,69.60599752961144,74.03590101476084,14.074750292330448,16.70668133809429,69.09563143934484,114.26045213972135,37.014748765960405,0.0006047266512979782
HTM030,28.107259155863254,68.74569945098895,43.801508097130984,168.63416345563826,7.393369409617886,12.200964336755835,106.0605185324175,18.459660399968925,18.426810384159065,0.0009178616678239036
HTM150,13.657441782615109,45.37988623819172,24.53603619938248,153.1883575429326,6.1675460880321555,11.621448276854766,71.24577777361574,18.372294140080754,14.400346517735834,0.0008946563261398694
HUN096,53.56990584237459,37.61180586474359,61.888601701922504,78.06680770335217,5.535575612799947,27.728706004582186,157.72748088769805,37.95733115402433,34.54143585951486,0.000778054758225044
IPR100,144.7453016812146,58.473456007570455,52.26031301876839,97.36353935892713,49.14840099620575,27.826404587923943,83.00322513141963,101.84320952185192,66.2864734341308,0.001418443636589706
JFJ,16.57548175321958,18.667179772602207,25.01182662481011,70.06630277683668,11.089373445510759,9.790291090819252,39.54268190917531,37.10936174296354,14.891735796649023,0.0005842772886613303
JFJ960,13.795721592094104,15.45920010848866,20.851974503951165,64.7059042023661,8.51240107330082,8.202044417074529,34.0385632059511,30.91820648823282,11.851721585021613,0.0005351404177790286
JUE,19.40539040625657,25.3124917406767,36.965831689732745,100.04865799091425,4.039368407260923,8.320856500801943,98.46699959552646,43.18411158412411,49.86297468343423,0.0005357613721699439
KIT030,80.9099740549341,52.51402202436049,113.82634021939815,80.38465860229809,4.595054811347703,23.84112114911003,200.19644514063705,50.61438605959114,170.17676533590594,0.0005762805442421635
KIT100,46.56100655790859,40.240863152493404,65.711228565074,81.06220274110932,4.2492636602560525,13.524153187863668,129.66900570469852,42.83468860992499,69.58116176630826,0.0005755879141374843
KIT200,37.75162353592844,37.368338816650855,54.15121723881777,81.38707572998588,4.2618842104960155,11.962623680853719,112.01262046582224,41.24913242512968,52.62625116499789,0.0005094654422870082
KRE010,23.621349720919913,96.13875943173456,40.3181475613104,73.89305487790834,4.501430632407871,17.5699570494463,267.0919464482836,50.6849556526942,33.88743014282893,0.0006094950104691406
KRE125,22.97822715842134,48.3078394259668,33.292574051236734,73.59384110983389,4.186273531390775,14.87229154019133,133.6816183544183,36.474612982927205,25.720765980595925,0.0005656962737231786
KRE250,22.31521446321259,41.958252113314224,30.97912079849793,72.29098631746656,4.08974036071405,14.169430451973046,112.62989103100065,33.84083187726087,23.833671496999962,0.0006346071279852324
LIN099,16.142176978760563,74.24782882601778,28.338421006495704,86.77448916986111,5.508247858802269,15.59156079222214,114.58110698787684,32.95368580568233,29.626488551800172,0.0007621051299570654
LMP,13.64302502926744,8.586675179729868,18.707388024542148,867.5433231073399,13.890378245749163,10.503484096769,53.16248451090394,27.719127171688097,9.925672721944903,0.00036186353359386644
LUT,10.030622026400858,21.27268687309501,20.2314121904064,206.07911009575648,8.712813671700664,8.94705497821395,91.28324363456498,46.867138384729856,24.687937556552786,0.000735837694641402
