1994 03    130.690      1.840 GAGE 
1994 04    130.800      1.780 GAGE 
1994 05    130.590      1.180 GAGE 
1994 06    127.160      1.310 GAGE 
1994 07    124.460      1.360 GAGE 
1994 08    121.380      1.190 GAGE 
1994 09    119.440      1.560 GAGE 
1994 10    120.120      1.220 GAGE 
1994 11    119.650      2.100 GAGE 
1994 12    118.240      1.760 GAGE 
1995 01    117.180      1.690 GAGE 
1995 02    116.640      1.520 GAGE 
1995 03    116.620      1.520 GAGE 
1995 04    116.410      1.550 GAGE 
1995 05    115.240      1.430 GAGE 
1995 06    112.630      1.700 GAGE 
1995 07    109.770      2.050 GAGE 
1995 08    106.850      1.560 GAGE 
1995 09    106.130      1.290 GAGE 
1995 10    105.050      0.930 GAGE 
1995 11    104.980      1.010 GAGE 
1995 12    104.510      1.210 GAGE 
1996 01    103.080      0.750 GAGE 
1996 02    102.420      0.840 GAGE 
1996 03    101.080      0.850 GAGE 
1996 04    100.010      0.970 GAGE 
1996 05     99.350      1.220 GAGE 
1996 06     96.890      1.060 GAGE 
1996 07     93.860      1.660 GAGE 
1996 08     92.300      0.970 GAGE 
1996 09     90.120      1.170 GAGE 
1996 10     89.020      0.850 GAGE 
1996 11     88.390      0.730 GAGE 
1996 12     87.730      0.780 GAGE 
1997 01     86.760      1.310 GAGE 
1997 02     85.610      0.820 GAGE 
1997 03     84.710      0.910 GAGE 
1997 04     83.710      1.140 GAGE 
1997 05     82.930      0.950 GAGE 
1997 06     81.320      1.020 GAGE 
1997 07     78.360      0.960 GAGE 
1997 08     76.510      0.980 GAGE 
1997 09     75.270      0.760 GAGE 
1997 10     74.160      0.690 GAGE 
1997 11     73.480      0.630 GAGE 
1997 12     72.980      0.550 GAGE 
1998 01     72.330      0.640 GAGE 
1998 02     71.420      0.510 GAGE 
1998 03     70.500      0.720 GAGE 
1998 04     69.960      0.620 GAGE 
1998 05     68.760      0.790 GAGE 
1998 06     67.370      0.990 GAGE 
1998 07     65.590      0.700 GAGE 
1998 08     63.900      0.640 GAGE 
1998 09     62.960      0.640 GAGE 
1998 10     62.060      0.730 GAGE 
1998 11     61.540      0.590 GAGE 
1998 12     60.660      1.060 GAGE 
1999 01     60.220      0.780 GAGE 
1999 02     59.490      0.680 GAGE 
1999 03     59.010      0.670 GAGE 
1999 04     58.310      0.620 GAGE 
1999 05     57.170      0.770 GAGE 
1999 06     56.020      0.640 GAGE 
1999 07     54.290      0.530 GAGE 
1999 08     53.040      0.520 GAGE 
1999 09     52.150      0.490 GAGE 
1999 10     51.790      0.560 GAGE 
1999 11     51.060      0.520 GAGE 
1999 12     50.740      0.550 GAGE 
2000 01     50.220      0.530 GAGE 
2000 02     49.750      0.510 GAGE 
2000 03     49.040      0.600 GAGE 
2000 04     48.960      0.440 GAGE 
2000 05     48.220      0.490 GAGE 
2000 06     47.360      0.660 GAGE 
2000 07     45.620      0.920 GAGE 
2000 08     44.830      0.510 GAGE 
2000 09     44.000      0.500 GAGE 
2000 10     43.390      0.590 GAGE 
2000 11     42.990      0.540 GAGE 
2000 12     42.700      0.520 GAGE 
2001 01     42.520      0.640 GAGE 
2001 02     41.710      0.530 GAGE 
2001 03     41.560      0.550 GAGE 
2001 04     40.930      0.520 GAGE 
2001 05     40.200      0.570 GAGE 
2001 06     39.310      0.540 GAGE 
2001 07     38.290      0.640 GAGE 
2001 08     37.240      0.520 GAGE 
2001 09     36.500      0.540 GAGE 
2001 10     36.060      0.500 GAGE 
2001 11     35.710      0.810 GAGE 
2001 12     35.500      0.850 GAGE 
2002 01     35.200      0.860 GAGE 
2002 02     34.900      0.930 GAGE 
2002 03     34.720      0.640 GAGE 
2002 04     34.260      0.530 GAGE 
2002 05     33.690      0.510 GAGE 
2002 06     32.570      0.550 GAGE 
2002 07     31.760      0.580 GAGE 
2002 08     30.830      0.520 GAGE 
2002 09     30.550      0.440 GAGE 
2002 10     30.090      0.480 GAGE 
2002 11     29.620      0.480 GAGE 
2002 12     29.540      0.450 GAGE 
2003 01     29.330      0.470 GAGE 
2003 02     29.340      0.470 GAGE 
2003 03     29.220      0.450 GAGE 
2003 04     28.750      0.450 GAGE 
2003 05     28.290      0.510 GAGE 
2003 06     27.670      0.410 GAGE 
2003 07     26.920      0.430 GAGE 
2003 08     26.150      0.470 GAGE 
2003 09     25.770      0.400 GAGE 
2003 10     25.370      0.400 GAGE 
2003 11     25.090      0.450 GAGE 
2003 12     24.810      0.400 GAGE 
2004 01     24.600      0.430 GAGE 
2004 02     24.410      0.410 GAGE 
2004 03     24.230      0.460 GAGE 
2004 04     23.860      0.430 GAGE 
2004 05     23.460      0.440 GAGE 
2004 06     22.710      0.440 GAGE 
2004 07     22.120      0.420 GAGE 
2004 08     21.530      0.390 GAGE 
2004 09     21.080      0.480 GAGE 
2004 10     20.920      0.410 GAGE 
2004 11     20.670      0.470 GAGE 
2004 12     20.430      0.410 GAGE 
2005 01     20.240      0.470 GAGE 
2005 02     20.100      0.350 GAGE 
2005 03     19.900      0.370 GAGE 
2005 04     19.810      0.360 GAGE 
2005 05     19.480      0.390 GAGE 
2005 06     19.010      0.320 GAGE 
2005 07     18.530      0.340 GAGE 
2005 08     18.270      0.420 GAGE 
2005 09     17.890      0.400 GAGE 
2005 10     17.690      0.440 GAGE 
2005 11     17.480      0.380 GAGE 
2005 12     17.200      0.370 GAGE 
2006 01     17.140      0.360 GAGE 
