lat,lon,country,facility,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2020_upd,2021_upd,diff 2020,diff 2021
"48,541667","3,5625",France,Nogent,"128,8","53,76","107,8","96,6","122,64","122,64","108,64","124,32","111,16","105,28","136,64","89,04","90,16","78,96","69,72","69,72","70,28","69,72","73,64",0,"3,92"
"49,041667","9,1875",Germany,Neckarwestheim 1-2,"222,4",139,116,235,215,124,263,122,"150,5","150,4","210,22","180,2","150,12","200,04","221,5",160,160,"221,5",160,0,0
"50,375","7,4375",Germany,Mülheim-Kärlich,"4,8","2,3","0,7","0,63",0,"0,13","0,33","0,38","0,5","0,28","0,91","0,22","0,12","0,00021",0,"0,02","0,018",0,"0,018",0,"-0,002"
"46,958333","7,3125",Switzerland,Mühleberg,370,370,340,340,390,300,320,370,340,330,380,360,350,400,28,"4,6","4,6",28,"4,6",0,0
"48,291667","18,4375",Slovakia,Mochovce,"66,64","117,88","18,9","16,7","17,4","26,3","29,9","29,5",453,"25,3","24,2",29,"19,3",253,"116,76","123,76","126,28","116,76","123,76",0,0
"60,375","26,3125",Finland,Loviisa,"40,6","67,76","92,12","93,8","90,72","90,72","94,64","129,64","111,72","116,2","110,04","99,4","99,68","96,88","103,88",105,105,"103,88",105,0,0
"59,875","29,0625",Russian Federation,Leningrad 1-4,"3147,245091","3351,373288","3770,322032","3603,726141","3755,380936","3845,123972","3337,056964","2629,126826","3469,125685","3767,91347","3881,145548","3659,04589","3578,659589","2842,328311","2576,62226","2420,171119","2045,53516","2576,62226","2420,171119",0,0
"47,625","8,1875",Switzerland,Leibstadt,410,540,590,540,560,570,640,770,630,420,360,280,480,410,580,220,220,580,220,0,0
"49,708333","-1,9375",France,La Hague,14200,13200,13500,14500,16000,14500,16300,20500,21900,20200,19100,16600,18200,18200,17100,17100,14100,17100,16200,0,-900
"53,375","10,4375",Germany,Krümmel,350,190,39,25,29,"5,4","2,5",1,"8,9","1,3","1,2","1,9","1,6","2,1","3,9","5,4","5,4","3,9","5,4",0,0
"45,958333","15,5625",Slovenia,Krsko,"40,04",35,"7,14","36,12","36,96","6,02","38,92","37,24","6,468","22,008","33,04","21,476","36,96","20,916","5,544","28,84","24,332","5,544","28,84",0,0
"43,708333","23,8125",Bulgaria,Kozloduy,"139,265096","105,055617","113,085786","109,076724","145,32","76,2","56,3","49,8","42,7","62,6","66,3","48,3",56,"59,9","168,28","168,28","94,1","168,28","94,1",0,"-74,18"
"67,458333","32,4375",Russian Federation,Kola 1-4,"75,534795","73,385238","76,180483","70,425293","76,214543","75,284943","70,772264","73,878652","73,896757","66,468317","70,275014","72,446049","73,253447","72,222816","67,066214","66,414005","74,275178","67,066214","66,414005",0,0
"50,291667","26,6875",Ukraine,Khmelnitski 1-2,"106,347836","108,307836","88,157962","93,75566","95,590236","105,962279","99,764153","106,66343","79,205633","98,162324","109,49097","97,542488","92,010838","55,383079","80,236186","94,878959","94,878959","80,236186","94,878959",0,0
"49,125","8,4375",Germany,Karlsruhe WAK,91,28,53,16,16,51,12,"0,32","0,29","1,5","3,5",86,41,32,36,36,21,36,21,0,-15
"58,875","31,0625",Russian Federation,Kalinin 1-4,"154,235507","165,445479","168,690948","161,444011","163,641589","171,122422","205,165129","218,229238","205,369567","242,960526","197,002324","237,928044","256,484373","225,616405","207,570981","250,489994","237,795408","207,570981","250,489995",0,1E-06
"40,375","-2,9375",Spain,José Cabrera 1,"3,00381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48,625","12,3125",Germany,Isar 1-2,450,510,720,413,390,230,"121,3","441,8","310,58",101,"60,1","98,7","69,44","880,65","101,17","73,04","73,043","101,17","73,043",0,"0,003"
"55,625","26,5625",Lithuania,Ignalina,"1178,988699","1346,724315","21,8","30,9","1,42","3,52","2,07","4,39","2,19","4,07","1,25","1,15","3,82","4,03",105,"22,4","24,1",105,"22,4",0,0
"48,541667","10,4375",Germany,Gundremmingen A+B+C,85,860,810,790,"840,037",1000,"980,015",1000,880,"850,029","240,21","250,075","150,03","170,025","150,055","260,01","260,011","150,055","260,011",0,"0,001"
"52,041667","9,4375",Germany,Grohnde,44,52,52,51,61,72,71,73,26,81,98,23,32,47,"106,4",37,37,"106,4",37,0,0
"51,041667","2,1875",France,Gravelines,"257,32","253,4",252,"50,4","244,44","251,16","213,36","235,2","227,64","251,16","209,44",280,"313,6","285,6","195,72","195,72","358,4","195,72","369,6",0,"173,88"
"49,958333","10,1875",Germany,Grafenrheinfeld,63,25,66,140,140,70,72,77,110,110,38,"2,6","0,9","3,3","0,2688","9,34","0,34","0,2688","0,34",0,-9
"47,375","7,9375",Switzerland,Gösgen,"62,130083","62,588898","61,093776","61,925414","61,593019","60,68183","61,936997","49,174136","61,535408","61,148931","63,159178","62,510719","62,646483","59,358237","63,24098",66,66,"63,24098",66,0,0
"44,125","0,8125",France,Golfech,"119,56","129,36","113,4","130,48","119,28","124,32","105,28","127,4","99,96","124,88","131,88","106,12","89,04","118,72","66,08","66,08","96,88","66,08","101,36",0,"35,28"
"60,375","18,1875",Sweden,Forsmark,2220,2490,2080,1960,1960,2110,1770,1730,1910,1640,1620,1675,1730,1930,1830,1830,1900,1830,1920,0,90
"49,541667","-1,9375",France,Flamanville,"119,56","117,88","74,2","109,76","107,24","47,6","114,52","120,12","122,64","108,08","131,88","92,68","87,36","51,24","27,3","27,3",140,"27,3",70,0,"42,7"
"47,875","7,5625",France,Fessenheim,"77,56",63,"68,32","58,24","77,84","47,6","82,6","61,32","80,92","85,12","55,72","32,76",49,"96,88","96,04","96,04","6,132","96,04","9,688",0,"-86,352"
"52,458333","7,3125",Germany,Emsland,141,"110,15",150,220,210,210,170,140,180,190,140,180,150,180,"39,2",96,96,"39,2",96,0,0
"49,125","16,1875",Czech Republic,Dukovany,"208,32","162,68","192,08","210,28","187,32","210,56",210,"221,48","192,08","206,64","161,56","177,24","203,28","186,76","182,84","185,08",31,"182,84","185,08",0,0
"51,291667","4,3125",Belgium,Doel 1-4,"166,239529","174,18355","157,87006","162,941819","168,961743","174,824329","139,772241","158,951321","107,735712","85,737792","169,689206","158,542861","91,362256","160,070385","147,776832","147,776832","170,420274","147,776832","176,278181",0,"28,501349"
"51,875","5,6875",Netherlands,Dodewaard,"0,116","0,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47,708333","2,5625",France,Dampierre,"166,04","162,12","165,2","155,4","166,88","165,2","155,12","15,708","156,24","171,64","162,4","250,04","238,56",217,"211,96","211,96","232,68","211,96","271,04",0,"59,08"
"44,625","4,8125",France,Cruas,"155,4","130,48","153,44","157,92","154,84","169,68","155,68","172,2","152,04","146,72","156,52","186,48","226,24","203,28","150,08","150,08","129,36","150,08","162,68",0,"12,6"
"39,208333","-1,0625",Spain,Cofrentes,0,595,309,289,396,421,229,523,473,200,339,301,260,103,107,113,222,107,113,0,0
"46,458333","0,6875",France,Civaux,"143,36","127,12","141,68","132,44","144,48","128,52","107,8","121,52","130,48","137,2","120,4","73,36","61,04","66,92","57,12","57,12","36,4","57,12",77,0,"19,88"
"50,125","4,8125",France,Chooz B,"128,52","141,96","155,12","109,76","128,52","144,48","121,24","137,2","141,12","138,04","148,96","136,92","46,76","53,2","54,04","54,04","37,8","54,04","46,2",0,"-7,84"
"47,208333","0,1875",France,Chinon B,"161,84","155,96","164,08","129,36","139,44","171,64","179,48","142,8","168,84","161,28","156,24","152,6","159,32","190,4","187,88","187,88",322,"187,88","232,96",0,"45,08"
"44,291667","28,0625",Romania,Cernavoda,"945,746119",280,543,633,578,308,471,410,399,475,332,386,378,425,353,389,349,353,389,0,0
"49,375","6,1875",France,Cattenom,"229,32","250,6","234,92","229,04","234,64","229,88","203,56","202,44","241,92","243,32","213,08","194,6","236,6","182,56","189,84","189,84","186,76","189,84","185,64",0,"-4,2"
